what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333044436619
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1333044436620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044441869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044713266
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333044716235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333044724748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044726978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044729067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044768364
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1333044772447
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1333044772505
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333044773678
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1333044781929
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333044784095
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044788144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044788963
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1333044791521
closed,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333044791533
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333044794927
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333044795017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1333044795018
opened,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333044801656
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333044801678
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1333044805528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044806448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333044875001
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333044877290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333045058811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333045076649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333045295147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333045333616
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333045486516
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1333045487214
