what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806391378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806429633
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332806432968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332806448555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806449569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806490164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806519075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332806523159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332807987180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332807987337
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1332808018631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332808025208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332808045646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332808050683
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332808052665
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332808052714
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332808052714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332808056048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332808084742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332808087526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332808095802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332808102072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332808338631
