what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1332863120270
processors,sysinfo,,,"8",1332863120270
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332863120270
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1332863120270
java.specification.name,sysinfo,,,"Java Platform API Specification",1332863120270
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332863120270
java.specification.version,sysinfo,,,"1.6",1332863120270
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332863120270
java.version,sysinfo,,,"1.6.0_22",1332863120270
java.vm.info,sysinfo,,,"mixed mode, sharing",1332863120270
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1332863120270
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332863120270
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332863120270
java.vm.specification.version,sysinfo,,,"1.0",1332863120270
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1332863120270
java.vm.version,sysinfo,,,"17.1-b03",1332863120270
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1332863121021
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1332863121082
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1332863121098
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1332863121101
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1332863121130
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1332863121172
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1332863121177
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1332863121185
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332863302228
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332863302229
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1332863303125
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1332863303131
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.503.v201108102200,"org.eclipse.jst.j2ee.ejb",1332863303157
started,bundle,org.eclipse.jst.j2ee.jca,1.1.500.v201108102200,"org.eclipse.jst.j2ee.jca",1332863303163
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1332863303167
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1332863303172
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1332863303176
